rowid;categoria;sku;marca;preco;img
138;sorveteria;1746;Selecta Chocoavelã Classic 4 KG;R$ 132;https://cdn.awsli.com.br/300x300/1284/1284671/produto/157369368/selecta-classic-3-932x1024-pk8f8vdxlq.jpg
139;sorveteria;1742;Selecta Chocoavelã Classic 12 KG;R$ 337;https://cdn.awsli.com.br/300x300/1284/1284671/produto/157369359/b9549cdd41.jpg
140;sorveteria;1455;Saborizante Sorvete Algemix Selecta Chocolate 1;01 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/133464781/378e3c990a.jpg
141;sorveteria;336;Mistura Láctea Triângulo Mineiro;R$ 50;https://cdn.awsli.com.br/300x300/1284/1284671/produto/132278727/3b7b7f4be7.jpg
142;sorveteria;1429;Saborizante Sorvete Algemix Selecta - Chocolate Suíço 1KG;R$ 101;https://cdn.awsli.com.br/300x300/1284/1284671/produto/128388130/ec6c490ff0.jpg
143;sorveteria;1557;Ovomaltine Flocado Crocante 750 G;R$ 41;https://cdn.awsli.com.br/300x300/1284/1284671/produto/119565857/94a1449589.jpg
144;sorveteria;1485;Cobertura de Tutti Fruti 1.3 KG;R$ 20;https://cdn.awsli.com.br/300x300/1284/1284671/produto/118646830/78dd36ae14.jpg
145;sorveteria;1284;Chocolat Pasta de Amendoim com pedaços 3 KG;R$ 101;https://cdn.awsli.com.br/300x300/1284/1284671/produto/117385248/a63bae79de.jpg
146;sorveteria;1192;Chocolat Pasta leitinho 3 KG;R$ 121;https://cdn.awsli.com.br/300x300/1284/1284671/produto/117385230/b8c6349bcd.jpg
147;sorveteria;367;Chocolat Pasta leitinho Bisnaga 1;01 kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/117272442/30bd627741.jpg
148;sorveteria;366;Chocolat Pasta Chocolate Com Avelã Bisnaga 1;01 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/117272404/e80aeab91d.jpg
149;sorveteria;307;Super Liga Neutra Selecta Pacote 20 KG;R$ 439;https://cdn.awsli.com.br/300x300/1284/1284671/produto/117159180/1bb1ce35be.jpg
150;sorveteria;1191;Chocolat Pasta Chocolate Com Avelã 3 KG;R$ 139;https://cdn.awsli.com.br/300x300/1284/1284671/produto/116195730/78e25b1a85.jpg
151;sorveteria;2217;Selecta Plus Max Cream 10 KG;R$ 479;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520237/02bd15ad81.jpg
152;sorveteria;2215;Selecta Plus Base Zero Para Fruta 10 KG;R$ 433;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520234/6de956eab2.jpg
153;sorveteria;2152;Selecta Plus Base Para Açaí 10 KG;R$ 344;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520223/7405379033.jpg
154;sorveteria;2092;Selecta Plus Base Para Açaí 1 KG;R$ 37;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520219/4262fead5d.jpg
155;sorveteria;568;Farofa Crocante de Amendoim Sem Sal Vabene 1;05 Kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520188/f00706d97e.jpg
156;sorveteria;564;Farinha  de Amendoim Sem Sal Vabene 1;05 kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520185/29ba9af4c9.jpg
157;sorveteria;563;Amendoim Granulado Sem Sal Vabene 1;05 Kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520181/5a6960c4cc.jpg
158;sorveteria;538;Selecta Cream Livre Trans 20 KG;R$ 423;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520175/9e0323fcfa.jpg
159;sorveteria;1341;Chocolate Bis Laka Lacta 100;8G;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115193544/0fa162e6a4.jpg
160;sorveteria;1336;Chocolate Bis Ao Leite Lacta 100;8G;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115193534/0fd4496f33.jpg
161;sorveteria;2119;Chocolat Biscotti e Crema Meio Amargo 12 KG;R$ 520;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115171579/475e78c3af.jpg
162;sorveteria;298;Saborizante Sorvete Algemix Selecta - Bombom New 20 kg;R$ 548;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114587415/a15ea8135d.jpg
